clean_tweet,sentiment_combined_final_label
"Four reasons a company falls into my too hard pile

- industry (ex. energy)
- Can't understand the business (ex. $DDOG)
- region I can't trust or am ill-informed (ex. China)
- followed too closely (ex. $ZM)

Why do you put stocks in the ""too hard"" pile?

https://t.co/j61LV64yXP",0
"Zoom $ZM settled +4.4% to $141.89, helped via a Cantor Fitzgerald 'overweight to $150'. The privacy/security issue remains unresolved, and I see the stock as s/t toxic. https://t.co/IjcpcgNHfu",0
Yikes! $ZM https://t.co/UNWH5LexEd,0
I don’t understand the allure of $ZM in teaching.  Why not just make a video module instead? Youtube has taught millions of people this way for years.. why mess with the formula? The,0
"@stocktrader300 You can do a $ZM call &amp; be more effective, efficient, and a profit center vs. cost to company: $UBER ride, plane ticket, hotel room ,meals,etc..  business will change &amp; $ZM remains a powerful new paradigm.",2
"Mr. Market pays roughly $1,000 per subscriber for $NFLX right now. At an Enterprise Value of $45 billion $ZM would need 45 million subscribers at a similar valuation. Unfortunately web meetings don’t pack the same excitement as Ozark. 60 million $NFLX subs in the USA.",0
"$ZM entered short here, bearish engulfment from two weeks prior, market extended, intraday showing bearish convergence. TBD.

 A close at HoD clearing147 would invalidate the setup https://t.co/JPYi9TlhOL",0
Our local schools are switching to $MSFT teams.  $ZM is operating on its heals - too many issues at once will crush them.,0
@Duckingmoney Boo okay. I just dumped $ZM and a few others. Going to kill my P/L! :(,0
"@alex I have been having a hard time understanding how:

a) $ZM and $AMZN should be chasing all time highs (presumably on a belief that we have a lot more quarantine to go); and 

b) the market is back to Dec 2019 levels.",0
@Duckingmoney Did you dump $ZM and $CMG?,1
$ZM holding tight to $144. Have a feeling this will break hard one direction soon,1
"$ZM Shareholder Alert: Robbins LLP Announces Zoom Video Communications, Inc. (ZM) Sued for Misleading Shareholders https://t.co/Qa9cieVUmj",0
"@zoom_us
 
Brilliant! Don't even need #Oculus or #HoloLens for that.
The display is already there. Just missing a small camera.
Perfect for self-driving.

@neat_no
 
@DTEN
 
@PolyCompany
 - please make equipment for Tesla!

$zm $tsla https://t.co/Z4nNBimkTb",2
"@GerberKawasaki @teslaownersSV @ericsyuan @zoom_us @Tesla @elonmusk @zoom_us 
Brilliant! Don't even need #Oculus or #HoloLens for that.
The display is already there. Just missing a small camera.
Perfect for self-driving.

@neat_no @DTEN @PolyCompany - please make equipment for Tesla!

$zm $tsla",2
@teslaownersSV @ericsyuan They need to integrate zoom into the Tesla then I can work from the car while charging. Etc. @zoom_us @Tesla @elonmusk $zm $tsla,1
"Zoom, Slack Stock Get Fresh Boost From Bullish Analyst Call $WORK $ZM #coronavirus #COVID2019 https://t.co/69uqOPKzqh",2
"Two stocks weather the COVID 19 situation well: $ZM, $WORK. https://t.co/Pse1aZgGZ1",2
$Zm is now over 400x Cashflow and 45x Revenue. Bargain!,2
@Duckingmoney $zm in play for puts ?,2
"@victorytrader88 vc já testou produtos/soluções da $LPSN ou ouviu testemunhos positivos?  por que ela e não $ZM, p.ex.?  Thanks",1
